รหัสหลัก,รหัสขาย,ราคา,คำอธิบาย,รหัสรอง
A71,A71,20,พาสปอร์ตแอสการ์ด,
A90,A90,19,สติกเกอร์ Huamo,
A170,A170,46,ถุงหูรูด,
A561,A561,66,กระจกฐานไม้ พร้อมปากกา ลบได้,
A589,"A589ชีส, A589เลมอน, A589ส้ม",36,เทียนหอมรูปผลไม้,"A589ชีส, A589เลมอน, A589ส้ม"
A621,A621,126,เก๊ะสองชั้นในตำนาน,
A622,A622,5,สร้อยคอ,
A640,"A640ชมพู, A640ขาว",26,ชั้นวางสองชั้น,"A640ชมพู, A640ขาว"
A645,A645,56,สมุดโน้ตปกใส,
A678,A678,19,คอนโดปากกา,
A688,A688,90,ชั้นวางพับได้ สองชิ้น,
A694,"A694ฟ้า, A694ชมพู",69,เสื้อบาติก,"A694ฟ้า, A694ชมพู"
A704,A704,45,ผ้าเช็ดผม,
A705,A705,136,โต๊ะนรก วางจอคอม,
A708,A708,19,กระปุกใส่ของ,
A727,A727,100,แก้วใส,
A736,A736,136,กระเป๋าไอแพดสนุปปี้ (736),
A738,A738,66,น้อนหมีกระเป๋า,
A739,A739,156,ที่ใส่เครื่องสำอางรูปรถโรงเรียน,
A740,A740,26,ถังขยะ,
A742,A742,90,ชุดนอนวัว,
A743,A743,46,ไฟพระจันทร์,
A744,"A744กรม, A744ขาว",96,กระเป๋าไอแพดสนุปปี้ (744),"A744กรม, A744ขาว"
A750,A750,19,กล่องใส่ของ 10 ลิตร,
A755,A755,45,เสื้อยืด Bright Idea,
A759,A759,100,แผ่นแขวนของติดผนัง สองอัน,
A775,A775,65,ไฟนีออนรูปหัวใจ,
A777,A777,146,โคมไฟกระดาษมูจิ,
A787,"A787เขียว, A787ชมพู, A787เหลือง",45,หมวกแก๊ป,"A787เขียว, A787ชมพู, A787เหลือง"
A796,A796,69,ที่ใส่โทรศัพท์กันน้ำ ติดผนัง,
A800,"A800หมี, A800ต่าย",45,กระเป๋าดินสอ,"A800หมี, A800ต่าย"
A803,A803,22,ที่จัดระเบียบสายไฟ,
A805,"A805ดำ, A805ฟ้า, A805ชมพู, A805เหลือง",26,สติกเกอร์ยกกล่อง,"A805ดำ, A805ฟ้า, A805ชมพู, A805เหลือง"
A806,"A806ขาว, A806ดำ",136,กระเป๋าไอแพดสนุปปี้หนัง (806),"A806ขาว, A806ดำ"
A808,"A808แดง, A808ชมพู",26,เทียนสตรอเบอร์รี,"A808แดง, A808ชมพู"
A813,A813,19,เซ็ตเทปลายสัตว์,
A815,"A815บิสกิต, A815ชอค",36,โน้ตรูปขนม กลิ่นขนม,"A815บิสกิต, A815ชอค"
A816,A816,46,ไฟรูปเทียน,
A818,A818,85,เสื้อยืดปักตัวอักษร,
A819,A819,46,กล่องหมี ใส่เครื่องสำอาง หรือทิ้งขยะ,
A820,A820,46,ชั้นสามช่อง,
A821,A821,6,สติกเกอร์หมีเค้ก,
A823,A823,156,ชั้นวางไม้ ใหญ่มวก,
A824,"A824ฟ้า, A824ครีม, A824ชมพู, A824ม่วง",36,กล่องใส่หนังสือ,"A824ฟ้า, A824ครีม, A824ชมพู, A824ม่วง"
A826,A826,36,สมุดจด,
A827,A827,90,ผ้าห่มลายวัว,
A829,A829เหลือง,49,กางเกงขาสั้น,A829เหลือง
A831,A831,146,ชั้นวางหนังสือ 4 ช่อง,
A832,"A832cow, A832แดง, A832ขาว",46,อ้ลบั้มภาพ,"A832cow, A832แดง, A832ขาว"
A833,"A833ฟ้า, A833ดำ, A833ชมพู",36,กล่องเหล็ก 3 ชั้น,"A833ฟ้า, A833ดำ, A833ชมพู"
A834,"A834ฟ้า, A834ชมพู, A834ขาว, A834เหลือง",126,ไฟสีพาสเทล,"A834ฟ้า, A834ชมพู, A834ขาว, A834เหลือง"
A835,"A835ฟ้า, A835เหลือง",36,ไฟรูปหอย,"A835ฟ้า, A835เหลือง"
A836,A836,36,กล่องกระจกหัวใจ,
A837,A837,19,ที่วางโทรศัพท์,
A840,"A840ชมพู, A840เหลือง, A840ฟ้า, A840เขียว",26,ตะกร้าเก็บของ วางซ้อนกันได้,"A840ชมพู, A840เหลือง, A840ฟ้า, A840เขียว"
A841,"A841ชมพู, A841เขียว",36,ที่เสียบมือถือ มีรูชาร์จ,"A841ชมพู, A841เขียว"
A843,A843,46,ชั้นวางจัดระเบียบโต๊ะ ,
A844,"A844ฟ้า, A844สายรุ้ง, A844เชอร์รี่",11,โน้ต 90s,"A844ฟ้า, A844สายรุ้ง, A844เชอร์รี่"
ที่ตัดเทป,Aตัดเทป,45,ที่ตัดเทป,
668,A668,39,เทปขนม,
เทปหมี,Aหมี,56,เทปหมี,
811,A811,45,เทปดอกไม้,
